Word;freqlemfilms2;freqlemlivres;freqfilms2;freqlivres
anoblissant;0.47;0.68;0;0.07
anoblissante;0;0.07;0;0.07
anoblissement;0;0.14;0;0.14
anoblit;0.47;0.68;0.11;0.14
anode;0.02;0;0.02;0
anodin;1.03;8.65;0.38;2.97
anodine;1.03;8.65;0.2;2.03
anodines;1.03;8.65;0.2;2.09
anodins;1.03;8.65;0.25;1.55
anodique;0.2;0;0.2;0
anodisé;0.21;0.07;0.21;0.07
anomalie;3.96;2.16;2.75;1.55
anomalies;3.96;2.16;1.21;0.61
anomoure;0;0.07;0;0.07
anonymat;1.41;3.04;1.41;3.04
anonyme;11.65;14.8;7.74;9.26
anonyme;0.99;1.82;0.69;1.22
anonymement;0.42;0.14;0.42;0.14
anonymes;11.65;14.8;3.92;5.54
anonymes;0.99;1.82;0.3;0.61
anonymographe;0;0.14;0;0.14
anophèle;0.01;0;0.01;0
anorak;0.49;0.88;0.25;0.81
anoraks;0.49;0.88;0.25;0.07
anorexie;0.88;0.81;0.87;0.74
anorexies;0.88;0.81;0.01;0.07
anorexique;0.38;0.41;0.31;0.34
anorexique;0.25;0.14;0.09;0.14
anorexiques;0.38;0.41;0.07;0.07
anorexiques;0.25;0.14;0.16;0
anormal;7.4;7.91;4.8;4.46
anormal;1.33;2.16;1.19;1.69
anormale;7.4;7.91;1.23;2.57
anormale;1.33;2.16;0.08;0.2
anormalement;1.08;1.15;1.08;1.15
anormales;7.4;7.91;0.61;0.27
anormales;1.33;2.16;0.01;0
anormalité;0.2;0.2;0.2;0.2
anormaux;7.4;7.91;0.76;0.61
anormaux;1.33;2.16;0.05;0.27
anosmie;0.07;0;0.07;0
anosmique;0.01;0.07;0.01;0.07
anoxie;0.09;0;0.09;0
ans;866.58;685.81;718.17;609.05
anse;0.47;6.08;0.33;4.86
anses;0.47;6.08;0.14;1.22
ansée;0.02;0.07;0.01;0
ansées;0.02;0.07;0.01;0.07
antagonique;0.03;0;0.03;0
antagonisme;0.17;1.55;0.16;1.15
antagonismes;0.17;1.55;0.02;0.41
antagoniste;0.1;0.88;0.07;0.2
antagoniste;0.14;0.68;0.12;0.27
antagonistes;0.1;0.88;0.03;0.68
antagonistes;0.14;0.68;0.02;0.41
antalgique;0.5;0;0.15;0
antalgiques;0.5;0;0.35;0
antan;1.53;4.86;1.53;4.86
antarctique;0.06;0.07;0.06;0
antarctiques;0.06;0.07;0;0.07
ante;1.12;0.27;1.12;0.27
antenne;11.59;8.45;10.08;3.65
antennes;11.59;8.45;1.5;4.8
anthologie;0.48;0.81;0.48;0.68
anthologies;0.48;0.81;0;0.14
anthonome;0.01;0;0.01;0
anthracine;0.04;0;0.04;0
anthracite;0.07;1.15;0.07;1.15
anthracite;0.01;1.82;0.01;1.76
anthracites;0.01;1.82;0;0.07
anthracose;0.01;0;0.01;0
anthracène;0.01;0;0.01;0
anthraquinone;0.01;0;0.01;0
anthrax;1.26;0.47;1.26;0.47
anthropiques;0.02;0;0.02;0
anthropologie;0.78;0.41;0.78;0.41
anthropologique;0.27;0.2;0.16;0.07
anthropologiquement;0.01;0;0.01;0
anthropologiques;0.27;0.2;0.11;0.14
anthropologiste;0.11;0;0.11;0
anthropologue;1.46;0.2;1.18;0.07
anthropologues;1.46;0.2;0.28;0.14
anthropomorphe;0.01;0.07;0.01;0.07
anthropomorphique;0.03;0.07;0.03;0.07
anthropomorphiser;0.01;0;0.01;0
anthropomorphisme;0.01;0.34;0.01;0.34
anthropométrie;0;0.27;0;0.27
anthropométrique;0;0.41;0;0.34
anthropométriques;0;0.41;0;0.07
anthropophage;0.14;0;0.03;0
anthropophage;0.02;0.47;0.01;0.2
anthropophages;0.14;0;0.11;0
anthropophages;0.02;0.47;0.01;0.27
anthropophagie;0.11;0.61;0.11;0.61
anthropophagiques;0;0.07;0;0.07
anthropopithèque;0;0.14;0;0.07
anthropopithèques;0;0.14;0;0.07
anthropoïde;0.02;0.07;0.02;0
anthropoïde;0.03;0.2;0.02;0.07
anthropoïdes;0.02;0.07;0;0.07
anthropoïdes;0.03;0.2;0.01;0.14
anthume;0;0.2;0;0.2
anti;0.09;0.81;0.09;0.81
anti-acné;0.02;0;0.02;0
anti-agression;0.03;0.07;0.03;0.07
anti-allergie;0.01;0;0.01;0
anti-anatomique;0.01;0;0.01;0
anti-apartheid;0;0.07;0;0.07
anti-aphrodisiaque;0;0.07;0;0.07
anti-asthmatique;0.01;0;0.01;0
anti-atomique;0.06;0.07;0.05;0
anti-atomiques;0.06;0.07;0.01;0.07
anti-avortement;0.12;0;0.12;0
anti-aérien;0.41;0.27;0.2;0.07
anti-aérien;0;0.07;0;0.07
anti-aérienne;0.41;0.27;0.17;0.07
anti-aériens;0.41;0.27;0.04;0.14
anti-beauf;0.01;0;0.01;0
anti-bison;0;0.07;0;0.07
anti-blindage;0.04;0;0.04;0
anti-blouson;0;0.07;0;0.07
anti-bombe;0.1;0.07;0.09;0
anti-bombes;0.1;0.07;0.01;0.07
anti-bosons;0.04;0;0.04;0
anti-braquage;0.01;0;0.01;0
anti-brouillard;0.12;0;0.12;0
anti-brouillard;0;0.07;0;0.07
anti-bruit;0.16;0;0.16;0
anti-calciques;0.01;0;0.01;0
anti-cancer;0.04;0;0.04;0
anti-capitaliste;0.03;0;0.03;0
anti-castriste;0.02;0;0.02;0
anti-castristes;0.01;0;0.01;0
anti-cellulite;0.01;0;0.01;0
anti-chambre;0;0.14;0;0.07
anti-chambres;0;0.14;0;0.07
anti-char;0.12;0.2;0;0.14
anti-chars;0.12;0.2;0.12;0.07
anti-chiens;0;0.07;0;0.07
anti-cité;0;0.07;0;0.07
anti-civilisation;0;0.07;0;0.07
anti-club;0.02;0;0.02;0
anti-cocos;0.01;0;0.01;0
anti-colère;0.01;0;0.01;0
anti-communisme;0;0.14;0;0.14
anti-communiste;0.03;0.07;0.03;0.07
anti-communiste;0.01;0;0.01;0
anti-conformisme;0.01;0.14;0.01;0.14
anti-conformiste;0.01;0;0.01;0
anti-conglutinatif;0;0.07;0;0.07
anti-corps;0.08;0;0.08;0
anti-corruption;0.04;0;0.04;0
anti-crash;0.01;0;0.01;0
anti-crime;0.03;0;0.03;0
anti-criminalité;0.01;0;0.01;0
anti-célibataires;0.01;0;0.01;0
anti-dauphins;0.01;0;0.01;0
anti-desperado;0.01;0;0.01;0
anti-dieu;0.03;0;0.03;0
anti-discrimination;0.02;0;0.02;0
anti-dopage;0.06;0;0.06;0
anti-douleur;0.46;0;0.3;0
anti-douleurs;0.46;0;0.15;0
anti-drague;0.01;0;0.01;0
anti-dramatique;0;0.07;0;0.07
anti-drogue;0.42;0;0.35;0
anti-drogues;0.42;0;0.07;0
anti-débauche;0;0.07;0;0.07
anti-démocratique;0.14;0.07;0.14;0.07
anti-démocratiques;0.14;0.07;0.01;0
anti-démon;0.04;0;0.04;0
anti-espionnes;0.01;0;0.01;0
anti-establishment;0.02;0;0.02;0
anti-existence;0;0.07;0;0.07
anti-explosion;0.04;0;0.04;0
anti-fantômes;0.02;0;0.02;0
anti-fasciste;0.02;0;0.02;0
anti-femme;0.01;0;0.01;0
anti-flingage;0;0.07;0;0.07
anti-flip;0;0.07;0;0.07
anti-frigo;0;0.07;0;0.07
anti-fusionnel;0.01;0;0.01;0
anti-fusées;0;0.2;0;0.2
anti-féministe;0.01;0;0.01;0
anti-féministe;0.03;0.07;0.03;0.07
anti-g;0.01;0;0.01;0
anti-gang;0.33;0;0.33;0
anti-gel;0.05;0;0.05;0
anti-gerce;0.01;0;0.01;0
anti-gouvernement;0.1;0;0.1;0
anti-graffiti;0.01;0;0.01;0
anti-gravité;0.06;0;0.06;0
anti-grimaces;0.01;0;0.01;0
anti-gros;0.01;0;0.01;0
anti-hannetons;0;0.07;0;0.07
anti-hypertenseur;0.01;0;0.01;0
anti-immigration;0.02;0;0.02;0
anti-immigrés;0;0.07;0;0.07
anti-impérialiste;0.11;0.07;0.11;0.07
anti-incendie;0.16;0;0.16;0
anti-inertie;0.01;0;0.01;0
anti-infectieux;0.01;0;0.01;0
anti-inflammatoire;0.02;0;0.02;0
anti-inflammatoire;0.07;0.07;0.07;0.07
anti-insecte;0.03;0.07;0.01;0
anti-insectes;0.03;0.07;0.02;0.07
anti-instinct;0;0.07;0;0.07
anti-insurrectionnel;0.01;0;0.01;0
anti-intimité;0.04;0;0.04;0
anti-japon;0;0.07;0;0.07
anti-jeunes;0;0.07;0;0.07
anti-mafia;0.01;0.07;0.01;0.07
anti-maison;0;0.14;0;0.14
anti-manipulation;0.01;0;0.01;0
anti-manoir;0;0.07;0;0.07
anti-mariage;0.03;0;0.03;0
anti-matière;0.09;0;0.08;0
anti-matières;0.09;0;0.01;0
anti-mecs;0.02;0;0.02;0
anti-militariste;0.01;0;0.01;0
anti-missiles;0.03;0;0.03;0
anti-mite;0.1;0.14;0.03;0.07
anti-mites;0.1;0.14;0.08;0.07
anti-monde;0;0.07;0;0.07
anti-monstres;0.01;0;0.01;0
anti-moustique;0.58;0.07;0.41;0
anti-moustiques;0.58;0.07;0.17;0.07
anti-médicaments;0.01;0;0.01;0
anti-métaphysique;0;0.07;0;0.07
anti-météorites;0.2;0;0.2;0
anti-nausée;0.01;0;0.01;0
anti-navire;0.01;0;0.01;0
anti-nucléaire;0.06;0;0.05;0
anti-nucléaires;0.06;0;0.01;0
anti-nucléaires;0.01;0;0.01;0
anti-odeur;0.02;0.14;0.01;0.07
anti-odeurs;0.02;0.14;0.01;0.07
anti-odorants;0;0.07;0;0.07
anti-origine;0;0.07;0;0.07
anti-panache;0;0.07;0;0.07
anti-particule;0.01;0;0.01;0
anti-pasteur;0;0.07;0;0.07
anti-patriote;0.01;0;0.01;0
anti-patriotique;0.06;0;0.06;0
anti-pelliculaire;0.13;0.07;0.13;0.07
anti-piratage;0.01;0;0.01;0
anti-pirate;0.01;0;0.01;0
anti-poison;0.04;0.14;0.04;0.14
anti-poisse;0.05;0.07;0.05;0.07
anti-pollution;0.04;0;0.04;0
anti-poux;0.04;0;0.04;0
anti-progressistes;0;0.07;0;0.07
anti-psychotique;0.01;0;0.01;0
anti-pub;0;0.07;0;0.07
anti-puces;0.14;0;0.14;0
anti-pédérastiques;0;0.07;0;0.07
anti-racket;0.06;0;0.06;0
anti-radiations;0.08;0;0.08;0
anti-rapt;0;0.07;0;0.07
anti-reflets;0;0.07;0;0.07
anti-rejet;0.2;0;0.2;0
anti-religion;0.01;0;0.01;0
anti-rhume;0.02;0;0.02;0
anti-rides;0.06;0;0.06;0
anti-romain;0;0.07;0;0.07
anti-romantique;0.01;0;0.01;0
anti-rouille;0.01;0;0.01;0
anti-russe;0.11;0;0.11;0
anti-sida;0.02;0;0.02;0
anti-socialistes;0.01;0;0.01;0
anti-sociaux;0.04;0;0.04;0
anti-société;0;0.07;0;0.07
anti-somnolence;0.01;0;0.01;0
anti-souffle;0.03;0;0.03;0
anti-sous-marin;0.02;0;0.02;0
anti-soviétique;0;0.07;0;0.07
anti-stress;0.35;0;0.35;0
anti-syndical;0.01;0;0.01;0
anti-sèche;0.01;0.07;0.01;0
anti-sèches;0.01;0.07;0;0.07
anti-sémite;0.04;0;0.02;0
anti-sémites;0.04;0;0.02;0
anti-sémitisme;0.08;0;0.08;0
anti-tabac;0.17;0;0.17;0
anti-taches;0.15;0;0.15;0
anti-tank;0.03;0;0.03;0
anti-tapisserie;0;0.07;0;0.07
anti-temps;0;0.27;0;0.27
anti-tension;0.01;0;0.01;0
anti-terrorisme;0.53;0;0.53;0
anti-terroriste;0.26;0;0.26;0
anti-tornades;0.01;0;0.01;0
anti-toux;0.01;0;0.01;0
anti-truie;0.01;0;0.01;0
anti-trusts;0.02;0;0.02;0
anti-venin;0.18;0;0.18;0
anti-vieillissement;0.04;0;0.04;0
anti-viol;0.09;0;0.09;0
anti-violence;0.01;0;0.01;0
anti-viral;0.13;0;0.13;0
anti-virus;0.09;0;0.09;0
anti-vol;0.36;0.27;0.35;0.27
anti-vols;0.36;0.27;0.01;0
anti-âge;0.04;0.74;0.04;0.74
anti-émeute;0.15;0;0.1;0
anti-émeutes;0.15;0;0.05;0
anti-émotionnelle;0;0.07;0;0.07
anti-évasion;0.01;0;0.01;0
antiacide;0.12;0;0.07;0
antiacides;0.12;0;0.04;0
antialcoolique;0.02;0;0.02;0
antiallemands;0;0.07;0;0.07
antiaméricain;0.06;0.14;0.05;0
antiaméricaine;0.06;0.14;0;0.14
antiaméricaines;0.06;0.14;0.01;0
antiaméricanisme;0.02;0.07;0.02;0.07
antiatomique;0.31;0;0.31;0
antiaérien;0.75;1.35;0.25;0.2
antiaérienne;0.75;1.35;0.29;0.54
antiaériennes;0.75;1.35;0.17;0.27
antiaériens;0.75;1.35;0.05;0.34
antibactérien;0.03;0;0.03;0
antibiotique;0.21;0.14;0.04;0
antibiotique;5.22;1.55;1.04;0.14
antibiotiques;0.21;0.14;0.17;0.14
antibiotiques;5.22;1.55;4.18;1.42
antiblocage;0.03;0.07;0.03;0.07
antibois;0.14;0;0.14;0
antibolcheviques;0;0.07;0;0.07
antibolchevisme;0;0.14;0;0.14
antibourgeois;0;0.07;0;0.07
antibrouillard;0;0.07;0;0.07
antibruit;0.01;0;0.01;0
anticalcaire;0;0.07;0;0.07
anticapitaliste;0.1;0.14;0.1;0.14
anticastriste;0.03;0.07;0.01;0.07
anticastristes;0.03;0.07;0.02;0
anticastristes;0.02;0;0.02;0
anticatalyseurs;0;0.07;0;0.07
anticatholique;0;0.07;0;0.07
antichambre;0.89;8.58;0.89;7.84
antichambres;0.89;8.58;0;0.74
antichar;0.33;1.89;0.07;0.2
antichars;0.33;1.89;0.27;1.69
antichoc;0.04;0;0.04;0
anticholinergique;0.01;0;0.01;0
antichristianisme;0;0.07;0;0.07
antichrétien;0;0.14;0;0.07
antichrétienne;0;0.14;0;0.07
anticipa;4.14;3.31;0.01;0.07
anticipais;4.14;3.31;0.04;0.14
anticipait;4.14;3.31;0.2;0.34
anticipant;4.14;3.31;0.06;0.47
anticipateur;0;0.2;0;0.14
anticipation;0.63;2.23;0.63;2.16
anticipations;0.63;2.23;0;0.07
anticipatoire;0;0.07;0;0.07
anticipatrice;0;0.2;0;0.07
anticipe;4.14;3.31;1.24;0.81
anticipent;4.14;3.31;0.03;0.07
anticiper;4.14;3.31;1.29;0.27
anticipera;4.14;3.31;0.03;0.07
anticiperait;4.14;3.31;0.01;0.07
anticipez;4.14;3.31;0.17;0.07
anticipons;4.14;3.31;0.16;0.2
anticipé;4.14;3.31;0.56;0.14
anticipé;1.64;1.08;0.16;0.47
anticipée;4.14;3.31;0.21;0.54
anticipée;1.64;1.08;1.4;0.54
anticipées;4.14;3.31;0.14;0
anticipées;1.64;1.08;0.04;0.07
anticipés;4.14;3.31;0.01;0.07
anticipés;1.64;1.08;0.03;0
anticlérical;0.16;1.15;0.16;0.41
anticléricale;0.16;1.15;0;0.47
anticléricales;0.16;1.15;0;0.07
anticléricalisme;0;0.34;0;0.34
anticléricaux;0.16;1.15;0;0.2
anticoagulant;0.21;0;0.14;0
anticoagulants;0.21;0;0.06;0
anticolonialisme;0;0.07;0;0.07
anticommunisme;0.1;0.88;0.1;0.88
anticommuniste;0.19;1.82;0.17;1.22
anticommuniste;0.02;0.54;0.01;0.27
anticommunistes;0.19;1.82;0.01;0.61
anticommunistes;0.02;0.54;0.01;0.27
anticonceptionnelle;0.2;0.14;0.2;0
anticonceptionnelles;0.2;0.14;0;0.07
anticonceptionnels;0.2;0.14;0;0.07
anticonformisme;0;0.07;0;0.07
anticonformiste;0.05;0;0.05;0
anticonstitutionnel;0.19;0;0.14;0
anticonstitutionnelle;0.19;0;0.05;0
anticonstitutionnellement;0.01;0;0.01;0
anticorps;1.35;0.41;1.35;0.41
anticyclique;0.01;0;0.01;0
anticyclone;0.03;0.07;0.03;0.07
anticycloniques;0;0.07;0;0.07
antidatait;0.01;0.27;0;0.07
antidater;0.01;0.27;0;0.07
antidaté;0.01;0.27;0.01;0.07
antidatée;0.01;0.27;0;0.07
antidictatoriaux;0;0.07;0;0.07
antidopage;0.01;0;0.01;0
antidote;4.48;1.35;4.38;1.08
antidotes;4.48;1.35;0.09;0.27
antidouleur;0.34;0;0.34;0
antidreyfusard;0.14;0.07;0.14;0
antidreyfusarde;0.14;0;0.14;0
antidreyfusards;0.14;0.07;0;0.07
antidreyfusisme;0;0.07;0;0.07
antidrogue;0.08;0.07;0.08;0.07
antidémarrage;0.01;0;0.01;0
antidémocratique;0.02;0.07;0.02;0.07
antidépresseur;0.1;0.07;0.03;0
antidépresseur;0.98;0.27;0.26;0
antidépresseurs;0.1;0.07;0.08;0.07
antidépresseurs;0.98;0.27;0.72;0.27
antidérapant;0.07;0.14;0.03;0
antidérapant;0;0.07;0;0.07
antidérapante;0.07;0.14;0.01;0
antidérapantes;0.07;0.14;0.01;0.14
antidérapants;0.07;0.14;0.02;0
antienne;0;1.62;0;1.49
antiennes;0;1.62;0;0.14
antiesclavagiste;0.01;0;0.01;0
antifading;0;0.07;0;0.07
antifascisme;0;0.07;0;0.07
antifasciste;0.04;0.88;0.02;0.34
antifasciste;0.26;0.27;0.1;0.07
antifascistes;0.04;0.88;0.02;0.54
antifascistes;0.26;0.27;0.16;0.2
antifongique;0.03;0;0.03;0
antifrançaise;0;0.34;0;0.2
antifrançaises;0;0.34;0;0.14
antifumée;0.01;0;0.01;0
antiféminisme;0;0.07;0;0.07
antigang;0.16;0.07;0.16;0.07
antigang;0.12;0.14;0.11;0.14
antigangs;0.12;0.14;0.01;0
antigaullistes;0;0.07;0;0.07
antigel;0.02;0;0.02;0
antigel;0.2;0;0.2;0
antigermanisme;0;0.07;0;0.07
antigravitation;0.01;0;0.01;0
antigravitationnel;0.04;0;0.04;0
antigravité;0.01;0;0.01;0
antigrippe;0.16;0;0.16;0
antigène;0.28;0.34;0.11;0.27
antigènes;0.28;0.34;0.17;0.07
antihistaminique;0.05;0;0.04;0
antihistaminique;0.25;0;0.1;0
antihistaminiques;0.05;0;0.01;0
antihistaminiques;0.25;0;0.15;0
antihygiénique;0.01;0.07;0.01;0.07
antihémorragiques;0;0.07;0;0.07
antihéros;0.04;0;0.04;0
antillais;0.1;0.61;0.1;0.54
antillais;0.14;4.12;0.12;3.72
antillaise;0.14;4.12;0.01;0.2
antillaises;0.1;0.61;0;0.07
antillaises;0.14;4.12;0;0.2
antilogique;0.01;0;0.01;0
antilope;0.88;2.16;0.73;1.28
antilopes;0.88;2.16;0.16;0.88
antimarxiste;0;0.07;0;0.07
antimatière;0.13;0.14;0.13;0.14
antimaçonniques;0;0.07;0;0.07
antimicrobien;0.01;0;0.01;0
antimigraineux;0.02;0;0.02;0
antimilitarisme;0;0.34;0;0.34
antimilitariste;0.12;0.81;0.11;0.54
antimilitariste;0;0.07;0;0.07
antimilitaristes;0.12;0.81;0.01;0.27
antimissile;0.04;0;0.04;0
antimissiles;0.06;0;0.06;0
antimite;0.01;0;0.01;0
antimite;0.05;0.61;0.04;0.27
antimites;0.05;0.61;0.01;0.34
antimitotiques;0.01;0;0.01;0
antimoine;0.01;0.27;0.01;0.27
antimonde;0;0.07;0;0.07
antinationale;0;0.14;0;0.07
antinationales;0;0.14;0;0.07
antinationaliste;0;0.14;0;0.14
antinaturel;0;0.14;0;0.07
antinaturelle;0;0.14;0;0.07
antinazie;0.1;0.07;0.1;0
antinazis;0.1;0.07;0;0.07
antinazis;0.01;0;0.01;0
antinomie;0.01;0.34;0;0.27
antinomies;0.01;0.34;0.01;0.07
antinomique;0.03;0.2;0.03;0.14
antinomiques;0.03;0.2;0;0.07
antinucléaire;0.11;0.14;0.03;0.14
antinucléaires;0.11;0.14;0.07;0
antioxydant;0.05;0;0.02;0
antioxydants;0.05;0;0.03;0
antipape;0.11;0.14;0.11;0.07
antipapes;0.11;0.14;0;0.07
antiparasitage;0;0.07;0;0.07
antiparasite;0.01;0.07;0.01;0.07
antiparasite;0.02;0.14;0.01;0
antiparasites;0.02;0.14;0.01;0.14
antipathie;0.71;1.82;0.57;1.69
antipathies;0.71;1.82;0.14;0.14
antipathique;0.97;2.03;0.96;1.55
antipathiques;0.97;2.03;0.01;0.47
antipatriote;0.01;0;0.01;0
antipatriotiques;0.01;0;0.01;0
antipelliculaire;0.01;0;0.01;0
antipersonnel;0.41;0;0.37;0
antipersonnelle;0.41;0;0.03;0
antipersonnelles;0.41;0;0.01;0
antiphonaires;0;0.14;0;0.14
antiphrase;0;0.34;0;0.34
antiphysiques;0;0.07;0;0.07
antipodaire;0;0.07;0;0.07
antipode;1.21;2.43;0.02;0.14
antipodes;1.21;2.43;1.19;2.3
antipodiste;0;0.14;0;0.07
antipodistes;0;0.14;0;0.07
antipoison;0.16;0.07;0.16;0.07
antipoisons;0;0.07;0;0.07
antipoliomyélitique;0;0.07;0;0.07
antipollution;0.05;0;0.05;0
antipopulaire;0;0.07;0;0.07
antiproton;0.07;0;0.04;0
antiprotons;0.07;0;0.03;0
antiprotéase;0.01;0;0.01;0
antipsychiatrie;0.01;0.14;0.01;0.14
antipsychotique;0.07;0;0.04;0
antipsychotique;0.1;0;0.04;0
antipsychotiques;0.07;0;0.04;0
antipsychotiques;0.1;0;0.06;0
antiquaille;0.14;0.41;0;0.14
antiquailleries;0;0.07;0;0.07
antiquailles;0.14;0.41;0.14;0.27
antiquaire;2.33;7.03;1.52;3.58
antiquaires;2.33;7.03;0.81;3.45
antiquark;0.01;0;0.01;0
antique;7.21;15.54;5.59;10.61
antique;0.37;3.24;0.34;2.43
antiques;7.21;15.54;1.63;4.93
antiques;0.37;3.24;0.03;0.81
antiquité;4.92;6.55;2.12;3.65
antiquités;4.92;6.55;2.8;2.91
antirabique;0.01;0.07;0.01;0.07
antiracisme;0.11;0;0.11;0
antiracistes;0.02;0.27;0.02;0.27
antiradiation;0.02;0;0.02;0
antireligieuse;0.02;0.14;0.02;0
antireligieux;0.02;0.14;0;0.14
antirides;0.02;0.07;0.02;0.07
antirouille;0.06;0;0.06;0
antirouille;0.01;0;0.01;0
antirusse;0;0.07;0;0.07
antirépublicain;0;0.07;0;0.07
antisatellite;0.03;0;0.03;0
antiscientifique;0.14;0.07;0.14;0.07
antisepsie;0;0.07;0;0.07
antiseptique;0.32;0.14;0.3;0
antiseptique;0.17;0;0.16;0
antiseptiques;0.32;0.14;0.03;0.14
antiseptiques;0.17;0;0.01;0
antisexistes;0;0.07;0;0.07
antisexuel;0;0.07;0;0.07
antisionistes;0;0.07;0;0.07
antiskating;0;0.07;0;0.07
antisocial;0.77;0.07;0.12;0
antisocial;0.1;0;0.1;0
antisociale;0.77;0.07;0.17;0
antisociales;0.77;0.07;0.02;0.07
antisociaux;0.77;0.07;0.46;0
antisolaire;0;0.14;0;0.07
antisolaires;0;0.14;0;0.07
antisoviétique;0;0.34;0;0.27
antisoviétiques;0;0.34;0;0.07
antisoviétisme;0;0.07;0;0.07
antispasmodique;0;0.07;0;0.07
antispasmodique;0.02;0;0.02;0
antisportif;0.01;0;0.01;0
antistalinien;0;0.27;0;0.2
antistaliniens;0;0.27;0;0.07
antistaliniens;0;0.07;0;0.07
antistatique;0.01;0.07;0.01;0
antistatiques;0.01;0.07;0;0.07
antistress;0.01;0;0.01;0
antisèche;0.23;0.14;0.15;0
antisèches;0.23;0.14;0.08;0.14
antisémite;0.96;1.55;0.72;0.61
antisémite;0.31;0.81;0.25;0.54
antisémites;0.96;1.55;0.23;0.95
antisémites;0.31;0.81;0.06;0.27
antisémitisme;0.36;1.62;0.36;1.62
antisérum;0.09;0;0.09;0
antitabac;0.07;0;0.07;0
antiterrorisme;0.01;0;0.01;0
antiterroriste;0.66;0.27;0.66;0.27
antithèse;0.11;0.88;0.11;0.81
antithèses;0.11;0.88;0;0.07
antithétiques;0;0.07;0;0.07
antitout;0;0.07;0;0.07
antitoxine;0.08;0;0.08;0
antitoxique;0.1;0;0.1;0
antitrust;0.24;0;0.24;0
antituberculeux;0;0.14;0;0.14
antitussif;0.01;0.07;0.01;0
antitussives;0.01;0.07;0;0.07
antityphoïdique;0;0.07;0;0.07
antitétanique;0.22;0.14;0.22;0.14
antivariolique;0.01;0;0.01;0
antivenimeux;0.03;0;0.03;0
antiviolence;0.02;0;0.02;0
antiviral;0.05;0;0.02;0
antiviral;0.16;0;0.01;0
antiviraux;0.05;0;0.03;0
antiviraux;0.16;0;0.14;0
antivirus;0.66;0;0.66;0
antivol;0.14;0.07;0.14;0.07
antivol;0.3;0.14;0.3;0.14
antiémeute;0.01;0;0.01;0
antiémétique;0.01;0;0.01;0
antonin;0.14;0.14;0.14;0.14
antonomase;0;0.07;0;0.07
antonyme;0;0.14;0;0.07
antonymes;0;0.14;0;0.07
antre;2.96;4.66;2.96;4.39
antres;2.96;4.66;0.01;0.27
anté;0;0.07;0;0.07
antéchrist;2.89;1.08;2.83;1.08
antéchrists;2.89;1.08;0.06;0
antécédent;0.42;0;0.16;0
antécédent;5.71;0.68;0.38;0
antécédents;0.42;0;0.26;0
antécédents;5.71;0.68;5.33;0.68
antédiluvien;0.03;0.88;0.01;0.41
antédiluvienne;0.03;0.88;0.01;0.2
antédiluviennes;0.03;0.88;0;0.27
antédiluviens;0.03;0.88;0.01;0
antépénultième;0;0.2;0;0.14
antépénultièmes;0;0.2;0;0.07
antérieur;3.82;10.27;0.88;2.43
antérieure;3.82;10.27;1.82;3.92
antérieurement;0.36;1.01;0.36;1.01
antérieures;3.82;10.27;0.66;1.69
antérieurs;3.82;10.27;0.46;2.23
antérograde;0;0.07;0;0.07
anuité;0;0.2;0;0.14
anuitées;0;0.2;0;0.07
anus;1.63;1.82;1.63;1.82
anuscopie;0.01;0;0.01;0
anxieuse;3.76;10.47;0.91;3.58
anxieuse;0.49;0.34;0.04;0
anxieusement;0.17;2.36;0.17;2.36
anxieuses;3.76;10.47;0.02;0.54
anxieux;3.76;10.47;2.83;6.35
anxieux;0.49;0.34;0.45;0.34
anxiolytique;0.28;0;0.21;0
anxiolytiques;0.28;0;0.07;0
anxiété;3.06;10.27;2.92;9.86
anxiétés;3.06;10.27;0.14;0.41
anya;0.26;0;0.26;0
anéanti;13.18;12.7;3.27;2.84
anéantie;13.18;12.7;1.55;1.96
anéanties;13.18;12.7;0.19;0.41
anéantir;13.18;12.7;4.41;3.78
anéantira;13.18;12.7;0.47;0.07
anéantirai;13.18;12.7;0.05;0
anéantiraient;13.18;12.7;0.01;0.07
anéantirait;13.18;12.7;0.27;0.07
anéantirent;13.18;12.7;0;0.14
anéantiriez;13.18;12.7;0.02;0
anéantirons;13.18;12.7;0.06;0
anéantiront;13.18;12.7;0.09;0
anéantis;13.18;12.7;1.62;1.62
anéantissaient;13.18;12.7;0;0.27
anéantissait;13.18;12.7;0;0.47
anéantissant;13.18;12.7;0.04;0.14
anéantissante;0.01;0.14;0.01;0.07
anéantissantes;0.01;0.14;0;0.07
anéantisse;13.18;12.7;0.36;0.07
anéantissement;0.63;3.38;0.62;3.24
anéantissements;0.63;3.38;0.01;0.14
anéantissent;13.18;12.7;0.14;0.14
anéantissez;13.18;12.7;0.08;0
anéantissons;13.18;12.7;0.02;0
anéantit;13.18;12.7;0.52;0.68
anémiais;0.04;0.14;0;0.07
anémiante;0;0.07;0;0.07
anémie;1.31;0.41;1.31;0.41
anémie;0.04;0.14;0.02;0
anémique;0.75;1.15;0.52;0.81
anémiques;0.75;1.15;0.23;0.34
anémié;0.04;0.14;0.01;0
anémié;0.02;0.14;0;0.07
anémiée;0.04;0.14;0;0.07
anémiée;0.02;0.14;0.01;0
anémiés;0.02;0.14;0.01;0.07
anémomètre;0.02;0.14;0.02;0.14
anémométrique;0;0.07;0;0.07
anémone;0.17;3.45;0.05;0.68
anémones;0.17;3.45;0.12;2.77
anévrisme;1.33;0.07;1.28;0.07
